site,category,subcategory,lowercategory
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",OfisKoltuğu,
hepsiburada,,GüvenlikSistemleri,
hepsiburada,,MediaPlayer,
hepsiburada,,Candy,
hepsiburada,,KurutmaMakineleri,
hepsiburada,,MikrodalgaFırınlar,
hepsiburada,,"TümÜtüler,",
hepsiburada,,"BuharKazanlıÜtü,",
hepsiburada,,MutfakTartısı,
hepsiburada,,Pişirme,
hepsiburada,,"TostMakinesi,",
hepsiburada,,"Fritöz,",
hepsiburada,,"Mini,MidiFırın,",
hepsiburada,,"ÇayMakinesi,",
hepsiburada,,KahveMakinesi,
hepsiburada,,Sony,
hepsiburada,,DijitalFotoğrafMakineleri,
hepsiburada,,"Canon,",
hepsiburada,,"Nikon,",
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Duşakabin,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",BanyoAksesuarı,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Batarya&Musluk,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",BanyoTekstili,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Vitrifiye,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",KahveMakineleri,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",TostMakinesi,
hepsiburada,"Ev,Yaşam,Kırtasiye,Ofis",Blender,
hepsiburada,Elektronik,"10moons,",
hepsiburada,Elektronik,"Veikk,",
hepsiburada,Elektronik,OfficeYazılımları,
hepsiburada,Elektronik,Kulaklık,
hepsiburada,Elektronik,"TV,Görüntü&SesSistemleri",
hepsiburada,Elektronik,"Next,",
